participantID,field,duration,subject_condition,graph_condition,group,question,time
s51314,Humanities,53338,warning,control,B,32,21.013
s51314,Humanities,53338,warning,truncated,B,33,26.523
s51314,Humanities,53338,warning,control,B,34,12.413
s51314,Humanities,53338,warning,truncated,B,35,32.964
s51314,Humanities,53338,warning,control,B,36,123.021
s51314,Humanities,53338,warning,truncated,B,37,19.782
s51314,Humanities,53338,warning,control,B,38,25.675
s51314,Humanities,53338,warning,truncated,B,39,11.453
s51314,Humanities,53338,warning,control,B,40,18.128
s51315,Humanities,414054,warning,NA,B,instructions,19.702
s51315,Humanities,414054,warning,truncated,B,1,10.06
s51315,Humanities,414054,warning,control,B,2,10.195
s51315,Humanities,414054,warning,truncated,B,3,8.15
s51315,Humanities,414054,warning,control,B,4,15.933
s51315,Humanities,414054,warning,truncated,B,5,9.967
s51315,Humanities,414054,warning,control,B,6,14.537
s51315,Humanities,414054,warning,truncated,B,7,11.66
s51315,Humanities,414054,warning,control,B,8,12.545
s51315,Humanities,414054,warning,truncated,B,9,34.532
s51315,Humanities,414054,warning,control,B,10,8.661
s51315,Humanities,414054,warning,truncated,B,11,13.56
s51315,Humanities,414054,warning,control,B,12,29.599
s51315,Humanities,414054,warning,truncated,B,13,24.054
s51315,Humanities,414054,warning,control,B,14,43.156
s51315,Humanities,414054,warning,truncated,B,15,15.717
s51315,Humanities,414054,warning,control,B,16,9.579
s51315,Humanities,414054,warning,truncated,B,17,76.992
s51315,Humanities,414054,warning,control,B,18,14.488
s51315,Humanities,414054,warning,truncated,B,19,11.145
s51315,Humanities,414054,warning,control,B,20,25.2
s51315,Humanities,414054,warning,truncated,B,21,17.966
s51315,Humanities,414054,warning,control,B,22,51.7
s51315,Humanities,414054,warning,truncated,B,23,9.472
s51315,Humanities,414054,warning,control,B,24,16.143
s51315,Humanities,414054,warning,truncated,B,25,9.344
s51315,Humanities,414054,warning,control,B,26,49.086
s51315,Humanities,414054,warning,truncated,B,27,10.093
s51315,Humanities,414054,warning,control,B,28,10.052
s51315,Humanities,414054,warning,truncated,B,29,115.107
s51315,Humanities,414054,warning,control,B,30,9.055
s51315,Humanities,414054,warning,truncated,B,31,37.801
s51315,Humanities,414054,warning,control,B,32,10.65
s51315,Humanities,414054,warning,truncated,B,33,58.39
s51315,Humanities,414054,warning,control,B,34,12.862
s51315,Humanities,414054,warning,truncated,B,35,14.518
s51315,Humanities,414054,warning,control,B,36,9.95
s51315,Humanities,414054,warning,truncated,B,37,9.744
s51315,Humanities,414054,warning,control,B,38,12.748
s51315,Humanities,414054,warning,truncated,B,39,9.461
s51315,Humanities,414054,warning,control,B,40,10.637
s51316,Humanities,862,no warning,NA,A,instructions,4.424
s51316,Humanities,862,no warning,control,A,1,11.66
s51316,Humanities,862,no warning,truncated,A,2,12.841
s51316,Humanities,862,no warning,control,A,3,7.666
s51316,Humanities,862,no warning,truncated,A,4,10.355
s51316,Humanities,862,no warning,control,A,5,65.185
s51316,Humanities,862,no warning,truncated,A,6,8.819
s51316,Humanities,862,no warning,control,A,7,6.024
s51316,Humanities,862,no warning,truncated,A,8,12.775
s51316,Humanities,862,no warning,control,A,9,19.018
s51316,Humanities,862,no warning,truncated,A,10,5.616
s51316,Humanities,862,no warning,control,A,11,10.34
s51316,Humanities,862,no warning,truncated,A,12,16.051
s51316,Humanities,862,no warning,control,A,13,8.61
s51316,Humanities,862,no warning,truncated,A,14,12.73
s51316,Humanities,862,no warning,control,A,15,15.091
s51316,Humanities,862,no warning,truncated,A,16,8.924
s51316,Humanities,862,no warning,control,A,17,12.518
s51316,Humanities,862,no warning,truncated,A,18,7.188
s51316,Humanities,862,no warning,control,A,19,12.155
s51316,Humanities,862,no warning,truncated,A,20,10.822
s51316,Humanities,862,no warning,control,A,21,10.036
s51316,Humanities,862,no warning,truncated,A,22,5.695
s51316,Humanities,862,no warning,control,A,23,9.562
s51316,Humanities,862,no warning,truncated,A,24,14.221
s51316,Humanities,862,no warning,control,A,25,6.955
s51316,Humanities,862,no warning,truncated,A,26,11.717
s51316,Humanities,862,no warning,control,A,27,7.752
s51316,Humanities,862,no warning,truncated,A,28,12.462
s51316,Humanities,862,no warning,control,A,29,8.381
s51316,Humanities,862,no warning,truncated,A,30,12.857
s51316,Humanities,862,no warning,control,A,31,7.369
s51316,Humanities,862,no warning,truncated,A,32,6.761
s51316,Humanities,862,no warning,control,A,33,10.552
s51316,Humanities,862,no warning,truncated,A,34,17.33
s51316,Humanities,862,no warning,control,A,35,11.62
s51316,Humanities,862,no warning,truncated,A,36,8.915
s51316,Humanities,862,no warning,control,A,37,8.28
s51316,Humanities,862,no warning,truncated,A,38,17.884
s51316,Humanities,862,no warning,control,A,39,10.298
s51316,Humanities,862,no warning,truncated,A,40,105.538
s51317,Humanities,3579,warning,NA,B,instructions,25.045
s51317,Humanities,3579,warning,truncated,B,1,21.464
s51317,Humanities,3579,warning,control,B,2,22.386
s51317,Humanities,3579,warning,truncated,B,3,41.669
s51317,Humanities,3579,warning,control,B,4,16.156
s51317,Humanities,3579,warning,truncated,B,5,23.253
s51317,Humanities,3579,warning,control,B,6,30.32
s51317,Humanities,3579,warning,truncated,B,7,21.747
s51317,Humanities,3579,warning,control,B,8,43.694
s51317,Humanities,3579,warning,truncated,B,9,15.998
s51317,Humanities,3579,warning,control,B,10,31.745
s51317,Humanities,3579,warning,truncated,B,11,30.14
s51317,Humanities,3579,warning,control,B,12,23.266
s51317,Humanities,3579,warning,truncated,B,13,23.31
s51317,Humanities,3579,warning,control,B,14,33.343
s51317,Humanities,3579,warning,truncated,B,15,47.369
s51317,Humanities,3579,warning,control,B,16,23.688
s51317,Humanities,3579,warning,truncated,B,17,23.655
s51317,Humanities,3579,warning,control,B,18,39.634
s51317,Humanities,3579,warning,truncated,B,19,23.818
s51317,Humanities,3579,warning,control,B,20,21.762
s51317,Humanities,3579,warning,truncated,B,21,23.807
s51317,Humanities,3579,warning,control,B,22,37.376
s51317,Humanities,3579,warning,truncated,B,23,13.941
s51317,Humanities,3579,warning,control,B,24,20.6
s51317,Humanities,3579,warning,truncated,B,25,31.095
s51317,Humanities,3579,warning,control,B,26,15.908
s51317,Humanities,3579,warning,truncated,B,27,22.057
s51317,Humanities,3579,warning,control,B,28,45.217
s51317,Humanities,3579,warning,truncated,B,29,40.801
