participantID,duration,subject_condition,graph_condition,group,question,time
s31101,3882,warning,control,B,20,1.455
s31101,3882,warning,truncated,B,21,0.927
s31101,3882,warning,control,B,22,1.012
s31101,3882,warning,truncated,B,23,1.995
s31101,3882,warning,control,B,24,1.736
s31101,3882,warning,truncated,B,25,0.347
s31101,3882,warning,control,B,26,1.166
s31101,3882,warning,truncated,B,27,0.415
s31101,3882,warning,control,B,28,1.788
s31101,3882,warning,truncated,B,29,0.397
s31101,3882,warning,control,B,30,0.363
s31101,3882,warning,truncated,B,31,0.403
s31101,3882,warning,control,B,32,0.389
s31101,3882,warning,truncated,B,33,0.366
s31101,3882,warning,control,B,34,0.38
s31101,3882,warning,truncated,B,35,0.707
s31101,3882,warning,control,B,36,0.506
s31101,3882,warning,truncated,B,37,0.319
s31101,3882,warning,control,B,38,14.587
s31101,3882,warning,truncated,B,39,0.956
s31101,3882,warning,control,B,40,0.839
s31102,493,warning,NA,A,instructions,12.229
s31102,493,warning,control,A,1,5.887
s31102,493,warning,truncated,A,2,10.807
s31102,493,warning,control,A,3,10.748
s31102,493,warning,truncated,A,4,7.423
s31102,493,warning,control,A,5,8.422
s31102,493,warning,truncated,A,6,6.665
s31102,493,warning,control,A,7,9.453
s31102,493,warning,truncated,A,8,7.936
s31102,493,warning,control,A,9,7.056
s31102,493,warning,truncated,A,10,7.005
s31102,493,warning,control,A,11,4.502
s31102,493,warning,truncated,A,12,8.521
s31102,493,warning,control,A,13,5.835
s31102,493,warning,truncated,A,14,7.771
s31102,493,warning,control,A,15,13.73
s31102,493,warning,truncated,A,16,5.598
s31102,493,warning,control,A,17,6.025
s31102,493,warning,truncated,A,18,6.039
s31102,493,warning,control,A,19,6.906
s31102,493,warning,truncated,A,20,9.349
s31102,493,warning,control,A,21,9.292
s31102,493,warning,truncated,A,22,7.866
s31102,493,warning,control,A,23,6.524
s31102,493,warning,truncated,A,24,8.735
s31102,493,warning,control,A,25,6.945
s31102,493,warning,truncated,A,26,10.247
s31102,493,warning,control,A,27,7.53
s31102,493,warning,truncated,A,28,10.141
s31102,493,warning,control,A,29,8.557
s31102,493,warning,truncated,A,30,9.445
s31102,493,warning,control,A,31,6.732
s31102,493,warning,truncated,A,32,7.528
s31102,493,warning,control,A,33,5.18
s31102,493,warning,truncated,A,34,8.048
s31102,493,warning,control,A,35,7.378
s31102,493,warning,truncated,A,36,6.325
s31102,493,warning,control,A,37,6.678
s31102,493,warning,truncated,A,38,14.697
s31102,493,warning,control,A,39,5.355
s31102,493,warning,truncated,A,40,7.371
s31103,623,warning,NA,A,instructions,33.381
s31103,623,warning,control,A,1,6.124
s31103,623,warning,truncated,A,2,7.918
s31103,623,warning,control,A,3,10.289
s31103,623,warning,truncated,A,4,6.102
s31103,623,warning,control,A,5,18.724
s31103,623,warning,truncated,A,6,8.288
s31103,623,warning,control,A,7,9.23
s31103,623,warning,truncated,A,8,6.492
s31103,623,warning,control,A,9,5.974
s31103,623,warning,truncated,A,10,8.57
s31103,623,warning,control,A,11,6.297
s31103,623,warning,truncated,A,12,11.937
s31103,623,warning,control,A,13,6.372
s31103,623,warning,truncated,A,14,22.893
s31103,623,warning,control,A,15,9.399
s31103,623,warning,truncated,A,16,8.388
s31103,623,warning,control,A,17,6.688
s31103,623,warning,truncated,A,18,8.547
s31103,623,warning,control,A,19,6.052
s31103,623,warning,truncated,A,20,7.207
s31103,623,warning,control,A,21,10.718
s31103,623,warning,truncated,A,22,5.589
s31103,623,warning,control,A,23,4.391
s31103,623,warning,truncated,A,24,7.796
s31103,623,warning,control,A,25,5.989
s31103,623,warning,truncated,A,26,6.424
s31103,623,warning,control,A,27,5.783
s31103,623,warning,truncated,A,28,11.701
s31103,623,warning,control,A,29,7.846
s31103,623,warning,truncated,A,30,7.387
s31103,623,warning,control,A,31,6.402
s31103,623,warning,truncated,A,32,8.093
s31103,623,warning,control,A,33,10.408
s31103,623,warning,truncated,A,34,6.453
s31103,623,warning,control,A,35,6.186
s31103,623,warning,truncated,A,36,4.282
s31103,623,warning,control,A,37,6.08
s31103,623,warning,truncated,A,38,17.697
s31103,623,warning,control,A,39,6.339
s31103,623,warning,truncated,A,40,4.797
s31104,923,warning,NA,A,instructions,19.363
s31104,923,warning,control,A,1,7.466
s31104,923,warning,truncated,A,2,8.272
s31104,923,warning,control,A,3,7.014
s31104,923,warning,truncated,A,4,6.605
s31104,923,warning,control,A,5,9.942
s31104,923,warning,truncated,A,6,16.351
s31104,923,warning,control,A,7,25.252
s31104,923,warning,truncated,A,8,8.399
s31104,923,warning,control,A,9,14.305
s31104,923,warning,truncated,A,10,6.516
s31104,923,warning,control,A,11,6.191
s31104,923,warning,truncated,A,12,12.878
s31104,923,warning,control,A,13,7.967
s31104,923,warning,truncated,A,14,16.037
s31104,923,warning,control,A,15,8.013
s31104,923,warning,truncated,A,16,10.388
s31104,923,warning,control,A,17,25.064
s31104,923,warning,truncated,A,18,22.087
s31104,923,warning,control,A,19,12.65
s31104,923,warning,truncated,A,20,79.866
s31104,923,warning,control,A,21,21.336
s31104,923,warning,truncated,A,22,40.335
s31104,923,warning,control,A,23,7.337
s31104,923,warning,truncated,A,24,11.929
s31104,923,warning,control,A,25,7.178
s31104,923,warning,truncated,A,26,6.791
s31104,923,warning,control,A,27,7.375
s31104,923,warning,truncated,A,28,8.026
s31104,923,warning,control,A,29,6.675
s31104,923,warning,truncated,A,30,7.469
s31104,923,warning,control,A,31,7.524
s31104,923,warning,truncated,A,32,9.292
s31104,923,warning,control,A,33,13.981
s31104,923,warning,truncated,A,34,8.019
s31104,923,warning,control,A,35,10.034
s31104,923,warning,truncated,A,36,7.571
s31104,923,warning,control,A,37,7.048
s31104,923,warning,truncated,A,38,13.807
s31104,923,warning,control,A,39,5.717
s31104,923,warning,truncated,A,40,6.007
s31105,1065,no warning,NA,A,instructions,9.261
